District,Population,Population density,District square,address for Nominatim,location,point
 Покровское-Стрешнево , 59402 , 4604.81 , 12. 90 ," Покровское-Стрешнево ,  СЗАО ","Покровское-Стрешнево, Москва, Северо-Западный административный округ, Москва, Центральный федеральный округ, 123367, Россия","(55.8127392, 37.4622685, 0.0)"
 Преображенское , 91503 , 16310.7 , 5. 61 ," Преображенское ,  ВАО ","Преображенское, район Преображенское, Восточный административный округ, Москва, Центральный федеральный округ, 107061, Россия","(55.7938235, 37.7113174, 0.0)"
  Пресненский , 128062 , 10945.47 , 11. 70 ,"  Пресненский ,  ЦАО ","Пресненский район, Центральный административный округ, Москва, Центральный федеральный округ, Россия","(55.7622146, 37.5606576, 0.0)"
 Проспект Вернадского , 63659 , 13690.11 , 4. 65 ," Проспект Вернадского ,  ЗАО ","Проспект Вернадского, улица Удальцова, Проспект Вернадского, район Проспект Вернадского, Западный административный округ, Москва, Центральный федеральный округ, 119415, Россия","(55.6771999, 37.5060872, 0.0)"
Раменки , 141610 , 7638.08 , 18. 54 ,"Раменки ,  ЗАО ","Раменки, Мичуринский проспект, посёлок Матвеевское, район Раменки, Западный административный округ, Москва, Центральный федеральный округ, 119501, Россия","(55.6975607, 37.4985423, 0.0)"
 Ростокино , 40082 , 11322.6 , 3. 54 ," Ростокино ,  СВАО ","Ростокино, улица Бажова, Ростокино, район Ростокино, Северо-Восточный административный округ, Москва, Центральный федеральный округ, 129128, Россия","(55.8396775, 37.6668741, 0.0)"
 Рязанский , 109733 , 16908.01 , 6. 49 ," Рязанский ,  ЮВАО ","Рязанский район, Юго-Восточный административный округ, Москва, Центральный федеральный округ, Россия","(55.7221834, 37.7688303, 0.0)"
 Савёлки , 34472 , 4240.1 , 8. 13 ," Савёлки ,  ЗелАО ","район Савёлки, Зеленоградский административный округ, Москва, Центральный федеральный округ, Россия","(55.9887972, 37.2218808, 0.0)"
 Савёловский , 59287 , 21958.15 , 2. 70 ," Савёловский ,  САО ","Савёловский район, Северный административный округ, Москва, Центральный федеральный округ, Россия","(55.7997689, 37.5708333, 0.0)"
 Свиблово , 62847 , 14251.02 , 4. 41 ," Свиблово ,  СВАО ","Свиблово, Снежная улица, Свиблово, район Свиблово, Северо-Восточный административный округ, Москва, Центральный федеральный округ, 129343, Россия","(55.8551194, 37.6527359, 0.0)"
 Северное Бутово , 95882 , 10501.86 , 9. 13 ," Северное Бутово ,  ЮЗАО ","Северное Бутово, район Северное Бутово, Юго-Западный административный округ, Москва, Центральный федеральный округ, 117628, Россия","(55.5714094, 37.5776237, 0.0)"
 Северное Измайлово , 87614 , 20860.48 , 4. 20 ," Северное Измайлово ,  ВАО ","Северное Измайлово, район Северное Измайлово, Восточный административный округ, Москва, Центральный федеральный округ, 105215, Россия","(55.8067811, 37.8033479, 0.0)"
 Северное Медведково , 127819 , 22582.86 , 5. 66 ," Северное Медведково ,  СВАО ","Северное Медведково, Москва, Северо-Восточный административный округ, Москва, Центральный федеральный округ, 127221, Россия","(55.889663, 37.6529265, 0.0)"
 Северное Тушино , 165762 , 17634.26 , 9. 40 ," Северное Тушино ,  СЗАО ","Северное Тушино, Москва, Северо-Западный административный округ, Москва, Центральный федеральный округ, 125480, Россия","(55.8632245, 37.4279373, 0.0)"
 Северный , 38551 , 3746.45 , 10. 29 ," Северный ,  СВАО ","Северный, Москва, Северо-Восточный административный округ, Москва, Центральный федеральный округ, 127204, Россия","(55.9278692, 37.5466963, 0.0)"
 Силино , 40218 , 3867.12 , 10. 40 ," Силино ,  ЗелАО ","район Силино, Зеленоградский административный округ, Москва, Центральный федеральный округ, Россия","(56.0017567, 37.1688978, 0.0)"
  Сокол , 59507 , 15996.51 , 3. 72 ,"  Сокол ,  САО ","Сокол, Москва, Северный административный округ, Москва, Центральный федеральный округ, 125080, Россия","(55.8050063, 37.5056244, 0.0)"
 Соколиная Гора , 92126 , 11750.77 , 7. 84 ," Соколиная Гора ,  ВАО ","Соколиная Гора, Окружной проезд, Соколиная Гора, район Соколиная Гора, Восточный административный округ, Москва, Центральный федеральный округ, 105275, Россия","(55.7713307, 37.7450912, 0.0)"
 Сокольники , 61487 , 5981.23 , 10. 28 ," Сокольники ,  ВАО ","Сокольники, Сокольническая площадь, Сокольники, район Сокольники, Восточный административный округ, Москва, Центральный федеральный округ, 101113, Россия","(55.7888112, 37.6802722, 0.0)"
 Солнцево , 126456 , 11200.71 , 11. 29 ," Солнцево ,  ЗАО ","Солнцево, улица Богданова, Солнцево, район Солнцево, Западный административный округ, Москва, Центральный федеральный округ, 119297, Россия","(55.6496916, 37.3912177, 0.0)"
 Старое Крюково , 31053 , 8150.39 , 3. 81 ," Старое Крюково ,  ЗелАО ","Старое Крюково, Зеленоград, Зеленоградский административный округ, Москва, Центральный федеральный округ, 124527, Россия","(55.9798892, 37.1976931, 0.0)"
